,precision,recall,f1-score,support,tes_res,tes_label
10,0.0,0.0,0.0,77.0,"tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 1., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])","tensor([[1., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 1., 0.],
        [0., 0., 0.,  ..., 1., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 1.,  ..., 0., 1., 0.]])"
11,0.0,0.0,0.0,37.0,,
13,0.0,0.0,0.0,79.0,,
14,0.0,0.0,0.0,16.0,,
2,0.21875,0.125,0.1590909090909091,56.0,,
3,0.359375,0.12169312169312169,0.1818181818181818,189.0,,
5,0.40625,0.0783132530120482,0.13131313131313133,166.0,,
6,0.3504983388704319,0.705685618729097,0.4683684794672586,299.0,,
8,0.0,0.0,0.0,123.0,,
P1-1,0.0,0.0,0.0,122.0,,
micro avg,0.3460490463215259,0.218213058419244,0.26765015806111697,1164.0,,
macro avg,0.1334873338870432,0.10306919934342669,0.09405907016894807,1164.0,,
weighted avg,0.21684568584386524,0.218213058419244,0.17621381652183626,1164.0,,
samples avg,0.23241666666666666,0.19306666666666666,0.20409047619047618,1164.0,,
